,,,,,,,,,,,,,,,
MT NAVIG8 SPICA,2/26/21 16:00,3.694,Canola oil,TBC,TBC,NOBLEZA,26/02/2021 19:20,26/02/2021 22:00,28/02/2021 02:00,28/02/2021 05:30,TBC,B,LOAD,"10,00","0,1"
MV SAN,3/1/21 10:00,12.844,Malt barley,TBC,TBC,NOBLEZA,3/1/21 11:00,3/1/21 14:00,3/3/21 21:00,3/4/21 0:25,BRAZIL,6/7,LOAD,"7,20","0,0"
MV POLARIS 3,2/17/21 11:00,9.270,Livestock,TBC,TBC,TACUA,04/03/2021 11:55,04/03/2021 16:00,06/03/2021 22:00,07/03/2021 02:20,CHINA,B,LOAD,"8,20","15,0"
MV MARCOS DIAS,3/5/21 13:00,32.990,Wheat,LDC,J. MACEDO,TGM,3/5/21 16:20,3/6/21 1:09,3/8/21 16:15,3/8/21 20:35,BRAZIL,TGM,LOAD,"9,46","0,1"
MV SINOWAY ACT,3/6/21 1:00,11.909,Wood logs,TBC,TBC,PLANIR,06/03/2021 03:40,06/03/2021 07:00,10/03/2021 01:00,10/03/2021 08:30,INDIA,1/2,LOAD,"10,6","0,1"
,,5.398,Wood logs,,,,,,,,,,,,
,,10.663,Wood logs,,,,,,,,,,,,
MV WATER LILY,3/6/21 17:00,50.000,Wood chips,TBC,TBC,TRANSGRANEL,3/6/21 19:15,3/6/21 22:00,11/03/2021 22:00,12/03/2021 02:00,PORTUGAL,6/7,LOAD,"9,00","0,1"
MV ALCYONE I,3/8/21 17:00,2.003,Fertilizer (GSSP),NITRON,NITRON,NOBLEZA,08/03/2021 19:30,08/03/2021 21:30,13/03/2021 23:00,14/03/2021 02:30,EGYPT,C,DISCH,"11,20","0,1"
,,2.172,Fertilizer (Phosrock),,,,,,,,,,,,
,,8.719,Fertilizer (Phosrock),,,,,,,,,,,,
,,3.000,Fertilizer (TSP),,,,,,,,,,,,
MV BBC CAMPANA,3/14/21 10:00,596,Project cargo,PETREVEN S.A.,BBC,MONTECON,14/03/2021 11:50,14/03/2021 13:30,15/03/2021 17:25,15/03/2021 21:30,ARGENTINA,3/4,DISCH,"6,80","0,1"
MV AMIS TREASURE,3/11/21 1:00,2.295,Fertilizer (DAP),NITRON,NITRON,NOBLEZA,14/03/2021 15:05,14/03/2021 17:00,17/03/2021 02:00,17/03/2021 05:35,CHINA,C,DISCH,"11,50","3,6"
,,1.504,Fertilizer (DAP),,,,,,,,,,,,
,,1.425,Fertilizer (DAP),,,,,,,,,,,,
,,1.906,Fertilizer (MAP),,,,,,,,,,,,
,,2.027,Fertilizer (MAP),,,,,,,,,,,,
,,3.400,Fertilizer (MAP),,,,,,,,,,,,
,,2.504,Fertilizer (SAM),,,,,,,,,,,,
MV CL ANZI HE,3/15/21 18:00,42.493,Wood logs,TBC,TBC,PLANIR,15/03/2021 19:20,15/03/2021 23:55,21/03/2021 22:35,21/03/2021 04:40,CHINA,1/2,LOAD,"10,50","0,1"
MV BRANT,3/20/21 9:00,1.000,Fertilizer (MAP),NITRON,NITRON,NOBLEZA,3/22/21 17:15,3/22/21 19:00,3/23/21 20:00,3/23/21 23:35,SPAIN,1/2,DISCH,"10,3","2,3"
,,3.013,Fertilizer (GMOP),,,,,,,,,,,,
,,502,Fertilizer (GMOP),,,,,,,,,,,,
MV ANNA MARRA,3/20/21 7:00,4.393,Livestock,TBC,TBC,PANTZIN,22/03/2021 07:30,22/03/2021 10:00,27/03/2021 13:00,27/03/2021 17:35,TURKEY,6/7,LOAD,"9,40","2,0"
,,2.500,Fodder,,,,,,,,,,,,
,,1.297,Fodder,,,,,,,,,,,,
MV SAN,3/24/21 8:00,13.230,Malt barley,TBC,TBC,NOBLEZA,3/24/21 8:55,3/24/21 12:00,3/27/21 18:00,3/27/21 21:40,BRAZIL,B,LOAD,"8,30","0,0"
MV AFRICAN FINCH,3/24/21 9:00,36.757,Wood logs,TBC,TBC,PLANIR,24/03/2021 12:20,24/03/2021 16:00,28/03/2021 12:00,28/03/2021 19:00,CHINA,1/2,LOAD,"11,00","0,1"
MV THREE SASKIAS,3/27/21 4:00,14.232,Rapeseeds,CARGILL,CARGILL,TGM,3/27/21 10:00,3/27/21 12:25,3/29/21 14:10,3/29/21 17:50,UNITED KINGDOM,TGM,LOAD,"12,00","0,3"
MV BERGE ANNUPURI,3/27/21 23:00,715,Fertilizer (GTSP),NITRON,NITRON,NOBLEZA,28/03/2021 03:10,28/03/2021 06:00,30/03/2021 22:00,31/03/2021 00:45,EGYPT,6/7,DISCH,"10,20","0,2"
,,1.998,Fertilizer (GSSP),,,,,,,,,,,,
,,4.012,Fertilizer (GSSP),,,,,,,,,,,,
,,1.575,Fertilizer (DAP),,,,,,,,,,,,
,,504,Fertilizer (GSSP),,,,,,,,,,,,
,,845,Fertilizer (DAP),,,,,,,,,,,,
,,1.577,Fertilizer (GTSP),,,,,,,,,,,,
,,2.003,Fertilizer (GTSP),,,,,,,,,,,,
,,3.005,Fertilizer (DAP),,,,,,,,,,,,
,,2.199,Fertilizer (GTSP),,,,,,,,,,,,
MV BELMEKEN,3/30/21 14:30,4.502,Fertilizer (GMOP),NITRON,NITRON,NOBLEZA,30/03/2021 16:35,30/03/2021 19:00,01/04/2021 00:00,01/04/2021 03:25,RUSSIA,1/2,DISCH,"10,30","0,1"
MV AUCKLAND SPIRIT,3/29/21 16:00,30.220,Wood logs,TBC,TBC,TAMIBEL,29/03/2021 16:40,29/03/2021 23:00,02/04/2021 12:00,02/04/2021 19:20,CHINA,C,LOAD,"10,60","0,0"
MV FRAGRANT ATHENA,3/30/21 23:00,17.999,Fertilizer (Phosrock),NITRON,NITRON,NOBLEZA,31/03/2021 04:15,31/03/2021 07:00,03/04/2021 07:00,03/04/2021 10:15,PERU,6/7,DISCH,"10,30","0,2"
MV AFRICAN JAY,3/31/21 20:00,37.144,Wood logs,TBC,TBC,PLANIR,01/04/2021 05:45,01/04/2021 11:00,05/04/2021 14:00,05/04/2021 21:20,CHINA,1/2,LOAD,"11,00","0,4"
MV DENSA CHEETAH,4/5/21 1:00,4.408,Fertilizer (DAP),NITRON,NITRON,NOBLEZA,05/04/2021 03:30,05/04/2021 03:30,07/04/2021 06:00,07/04/2021 09:25,MOROCCO,3/4,DISCH,"10,35","0,1"
,,5.850,Fertilizer (SAM),,,,,,,,,,,,
MV GLORIOUS LOTUS,4/5/21 5:00,41.279,Wood chips,TBC,TBC,TRANSGRANEL,05/04/2021 05:55,05/04/2021 09:00,10/04/2021 10:00,10/04/2021 13:20,CHINA,6/7,LOAD,"10,65","0,0"
MV IVS PRESTWICK,4/1/21 14:00,19.643,Wood logs,TBC,TBC,PLANIR,05/04/2021 23:25,06/04/2021 04:00,12/04/2021 12:00,12/04/2021 03:25,INDIA,1/2,LOAD,"10,5","4,4"
,,22.554,Wood logs,,,,,,,,,,,,
MV AFRICAN KESTREL,4/6/21 9:00,10.462,Urea,NITRON,NITRON,NOBLEZA,10/04/2021 17:10,10/04/2021 20:00,13/04/2021 22:00,14/04/2021 01:30,UAE,6/7,DISCH,"10,4","4,3"
,,8.003,Urea,,,,,,,,,,,,"0,0"
MV CAPE PELICAN,4/3/21 7:00,89.959,Wood logs,TBC,TBC,PLANIR,03/04/2021 10:05,03/04/2021 15:00,14/04/2021 20:00,15/04/2021 02:30,CHINA,C,LOAD,"12,00","0,1"
MV ZEIN I,4/4/21 11:00,18.000,Livestock,TBC,TBC,TACUA,12/04/2021 19:15,12/04/2021 23:00,17/04/2021 09:00,17/04/2021 12:25,TURKEY,B,LOAD,"9,90","8,3"
MV STAR GLORY,4/8/21 6:00,2.002,Fertilizer (GTSP),NITRON,NITRON,NOBLEZA,15/04/2021 07:40,15/04/2021 10:30,17/04/2021 11:00,17/04/2021 14:50,EGYPT,C,DISCH,"11,50","7,1"
,,7.002,Fertilizer (GSSP),,,,,,,,,,,,
MV BERGE CATHERINE,4/15/21 20:00,12.477,Barley,TGL URUGUAY S.A.,EVERGRAIN,TGM,4/16/21 0:24,4/16/21 1:45,4/17/21 15:13,4/17/21 17:45,CHINA,TGM,LOAD,"12,00","0,2"
MV PLANA,4/14/21 9:00,2.251,Fertilizer (MAP),NITRON,NITRON,TBC,17/04/2021 16:55,17/04/2021 20:00,19/04/2021 06:00,19/04/2021 08:30,MOROCCO,C,DISCH,"11,10","3,3"
,,1.100,Fertilizer (MAP),,,,,,,,,,,,
,,2.003,Fertilizer (MAP),,,,,,,,,,,,
MV BEATRICE,4/11/21 1:30,1.003,Fertilizer (DAP),AMEROPA,AMEROPA,NOBLEZA,16/04/2021 18:12,16/04/2021 19:45,19/04/2021 14:24,19/04/2021 17:30,MOROCCO,1/2,DISCH,"10,20","5,7"
,,1.004,Fertilizer (DAP),,,,,,,,,,,,"0,0"
,,1.003,Fertilizer (MAP),,,,,,,,,,,,"0,0"
,,1.001,Fertilizer (MAP),,,,,,,,,,,,"0,0"
,,1.001,Fertilizer (DAP),,,,,,,,,,,,"0,0"
,,3.501,Fertilizer (MAP),,,RIOESTIBA,,,,,,,,,"0,0"
,,3.002,Fertilizer (DAP),,,,,,,,,,,,"0,0"
MV UNI BLOSSOM,4/7/21 23:00,31.286,Petcoke,TBC,TBC,NOBLEZA,14/04/2021 03:15,14/04/2021 07:00,19/04/2021 00:00,19/04/2021 03:35,COLOMBIA,6/7,DISCH,"9,96","6,2"
MV AFRICAN WAGTAIL,4/19/21 7:00,2.202,Urea,TBC,TBC,NOBLEZA,19/04/2021 21:05,19/04/2021 23:00,22/04/2021 06:00,22/04/2021 09:35,QATAR,3/4,DISCH,"10,65","0,6"
,,2.550,Urea,,,,,,,,,,,,
,,5.407,Urea,,,,,,,,,,,,
,,2.255,Urea,,,,,,,,,,,,
,,1.601,Urea,,,RIOESTIBA,,,,,,,,,
MV IZANAGI HARMONY,4/18/21 12:00,11.443,Wood logs,TBC,TBC,TBC,20/04/2021 03:10,20/04/2021 07:00,22/04/2021 17:00,22/04/2021 21:20,CHINA,4/5,LOAD,"11,03","1,6"
MV GHENA,3/16/21 2:00,3.595,Fodder,TBC,TBC,TACUA,20/04/2021 07:25,20/04/2021 11:00,24/04/2021 08:00,24/04/2021 10:35,TURKEY,6/7,LOAD,"9,80","35,2"
MV BBC SAPPHIRE,4/24/21 1:30,1,Project cargo,TBC,BBC,MONTECON,24/04/2021 03:15,24/04/2021 10:00,24/04/2021 11:00,24/04/2021 15:00,USA,3/4,DISCH,,"0,1"
MV SE CARDI,4/19/21 12:00,36.941,Wood logs,TBC,TBC,TBC,19/04/2021 11:00,19/04/2021 15,24/04/2021 18:00,24/04/2021 20:10,CHINA,C,LOAD,"11,00","0,0"
MV IZANAGI HARMONY,4/22/21 23:00,8.000,Wood logs,TBC,TBC,TBC,25/04/2021 01:10,25/04/2021 03:00,25/04/2021 18:00,25/04/2021 21:35,CHINA,C,LOAD,"11,03","2,1"
MV STAR MAINE,4/19/21 8:42,44.028,Wood logs,TBC,TBC,PLANIR,25/04/2021 23:48,26/04/2021 02:00,30/04/2021 05:10,30/04/2021 11:10,CHINA,C,LOAD,"10,78","6,6"
MV FOUR NABUCCO,4/22/21 12:00,29.313,Paddy Rice,DAMBO,CARGILL,TGM,4/26/21 12:00,4/26/21 15:25,30/04/2021 21:15,01/05/2021 01:49,MEXICO,TGM,LOAD,"9,68","4,0"
MV ASAHI BULKER,4/20/21 20:42,31.652,Cement in big bags,TBC,TBC,TAMIBEL,24/04/2021 14:00,24/04/2021 18:00,02/05/2021 12:15,02/05/2021 17:30,TURKEY,6/7,DISCH,"10,16","3,7"
MV MOLESON,4/19/21 8:00,31.582,Bagged rice,TBC,TBC,TACUA,19/04/2021 19:20,19/04/2021 23:00,02/05/2021 16:00,02/05/2021 20:20,IRAK,1/2,LOAD,"9,75","0,5"
MV WATER LILY,4/28/21 8:00,40.440,Wood chips,TBC,TBC,TRANSGRANEL,28/04/2021 15:55,28/04/2021 18:00,03/05/2021 10:00,03/05/2021 13:00,PORTUGAL,8/9,LOAD,"10,00","0,3"
MV HERCULES OCEAN,4/30/21 13:20,20.660,Soybeans,CARGILL,TBC,TGM,5/2/21 4:48,5/2/21 7:50,5/3/21 19:25,5/3/21 21:34,EGYPT,TGM,LOAD,"12,00","1,6"
MV EVA BULKER,4/24/21 4:00,26.047,Wood logs,TBC,TBC,TAMIBEL,5/30/21 13:30,5/30/21 16:00,05/05/2021 10:00,05/05/2021 16:10,CHINA,C,LOAD,"10,50","36,4"
MV SAGAR RATAN,5/4/21 0:00,10.457,Soybeans,LDC,TBC,TGM,5/4/21 3:00,5/4/21 4:10,5/5/21 15:43,5/5/21 18:06,EGYPT,TGM,LOAD,"12,00","0,1"
MV OCEAN DROVER,4/25/21 20:00,3.078,Livestock,TBC,TBC,TACUA,02/05/2021 19:55,02/05/2021 23:00,07/05/2021 12:00,07/05/2021 15:40,MAURITIUS,6/7,LOAD,"7,30","7,0"
MV HEMUS,4/28/21 13:00,2.617,Fertilizer,NITRON,NITRON,NOBLEZA,5/5/21 20:10,5/6/21 13:00,5/8/21 8:00,5/8/21 10:55,EGYPT,C,DISCH,"10,70","7,3"
MV AFRICAN LARK,4/29/21 6:00,16.969,Wood logs,TBC,TBC,PLANIR,05/05/2021 15:00,06/05/2021 13:00,09/05/2021 07:00,09/05/2021 12:00,INDIA,8/9,LOAD,"10,30","6,4"
MV AFRICAN EGRET,4/28/21 23:00,13.713,Wood logs,TBC,TBC,PLANIR,04/05/2021 18:20,04/05/2021 21:00,09/05/2021 22:00,10/05/2021 04:45,INDIA,1/2,LOAD,"10,30","5,8"
,,13.776,Wood logs,,,,,,,,,,,,
,,6.866,Wood logs,,,,,,,,,,,,
MV INTERLINK EQUITY,5/2/21 20:12,2.204,Fertilizer (GMOP),NITRON,NITRON,NOBLEZA,5/10/21 7:30,5/10/21 8:45,5/11/21 2:45,5/11/21 7:00,RUSSIA,1/2,DISCH,"10,30","7,5"
,,1.101,Fertilizer (GMOP),,,,,,,,,,,,
MV PRINCESS MARGO,5/10/21 22:30,10.717,Soybeans,COFCO,TBC,TGM,5/11/21 7:00,5/11/21 8:30,5/12/21 0:15,5/12/21 2:40,EGYPT,TGM,LOAD,"12,00","0,4"
MV MOUNTPARK,5/7/21 19:00,2.503,Fertilizer (NPS),NITRON,NITRON,NOBLEZA,5/11/21 4:50,5/11/21 6:14,5/12/21 17:35,5/12/21 21:36,CHINA,3/4,DISCH,"10,20","3,4"
,,1.579,Fertilizer (NPS),,,,,,,,,,,,
MV AMELIE,5/13/21 13:00,2.500,Fertilizer,NITRON,NITRON,TBC,5/13/21 16:15,5/13/21 17:30,5/14/21 7:00,5/14/21 10:15,FINLAND,TBC,DISCH,"10,30","0,1"
MV COYOTE,4/28/21 7:00,31.500,Bagged rice,TBC,TBC,TACUA,07/05/2021 17:45,07/05/2021 21:00,15/05/2021 00:00,15/05/2021 03:20,IRAK,6/7,LOAD,"9,75",
MV PANAFRICAN,5/13/21 18:00,17.600,Soybeans,CARGILL,TBC,TGM,5/13/21 19:45,5/13/21 21:30,5/15/21 10:00,5/15/21 13:35,CHINA,TGM,LOAD,"12,00",
MV SINLAU BULKER,5/10/21 19:30,32.000,Wood logs,TBC,TBC,TAMIBEL,11/05/2021 09:05,11/05/2021 13:00,16/05/2021 18:00,17/05/2021 01:20,INDIA,1/2,LOAD,"11,00",